Time	PKC00V []	PSEK2D1R:set [kV]	PAHB:sCavSet [kV]	PAHR:sCavSet []	TOPUPCC:rdCur [mA]	TOPUPCC:rdEffBoostR [%]	TOPUP1T5G:rdEffBoostRraw []	TOPUP2T5G:rdEffBoostRraw []	PAHB:sDelay [ns]	PAHB:pDelay [ns]	
05/07/2019 21:31:06.260111	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	0.186387	
05/07/2019 21:31:07.259333	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	0.10631	
05/07/2019 21:31:08.258657	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	0.0526131	
05/07/2019 21:31:09.258018	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0269959	
05/07/2019 21:31:10.258324	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0584492	
05/07/2019 21:31:11.257908	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0703906	
05/07/2019 21:31:12.256924	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0703906	
05/07/2019 21:31:13.256093	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0703906	
05/07/2019 21:31:14.256056	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0703906	
05/07/2019 21:31:15.255965	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0703906	
05/07/2019 21:31:16.255440	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0703906	
05/07/2019 21:31:17.254822	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0703906	
05/07/2019 21:31:18.254255	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0703906	
05/07/2019 21:31:19.254089	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0703906	
