Time	TOPUPCC:rdCurrentB [mA]	PSEK2D1R:set [kV]	PAHB:sCavSet [kV]	PAHR:sCavSet []	TOPUPCC:rdCur [mA]	TOPUPCC:rdEffBoostR [%]	TOPUP1T5G:rdEffBoostRraw []	TOPUP2T5G:rdEffBoostRraw []	PAHB:sDelay [ns]	PAHB:pDelay [ns]	
05/08/2019 14:56:32.956035	0.639539	1.3963	775	1400	46.262	-1	0.00152609	0.00798639	0.68	0.633837	
05/08/2019 14:56:33.955545	0.624887	1.3963	775	1400	46.2595	-1	0.00370063	0.00798639	0.69	0.643358	
05/08/2019 14:56:34.954947	0.621088	1.3963	775	1400	46.2568	-1	0.00370063	-0.000507206	0.69	0.644139	
05/08/2019 14:56:35.954308	0.641083	1.3963	775	1400	46.2559	-1	-0.000665351	-0.000507206	0.7	0.653349	
05/08/2019 14:56:36.954317	0.480711	1.3963	775	1400	46.2539	-1	-0.000665351	-0.0040164	0.7	0.654519	
05/08/2019 14:56:37.953505	0.481363	1.3963	775	1400	46.2522	-1	-0.00168582	-0.0040164	0.71	0.664197	
05/08/2019 14:56:38.952725	0.613753	1.3963	775	1400	46.2501	-1	-0.00168582	-0.00114814	0.71	0.665212	
05/08/2019 14:56:39.952467	0.612046	1.3963	775	1400	46.2487	-1	0.00250993	-0.00114814	0.72	0.674109	
05/08/2019 14:56:40.952950	0.639781	1.3963	775	1400	46.248	-1	0.00250993	0.00252445	0.72	0.675592	
05/08/2019 14:56:41.952540	0.631117	1.3963	775	1400	46.2456	-1	0.000706848	0.00252445	0.73	0.685192	
05/08/2019 14:56:42.952307	0.632119	1.3963	775	1400	46.2443	-1	0.000706848	0.00390765	0.73	0.686051	
05/08/2019 14:56:43.951320	0.631549	1.3963	775	1400	46.2417	-1	-0.00455487	0.00390765	0.74	0.695182	
05/08/2019 14:56:44.950798	0.629977	1.3963	775	1400	46.2406	-1	-0.00455487	0.00559073	0.74	0.696353	
05/08/2019 14:56:45.950674	0.64247	1.3963	775	1400	46.2385	-1	-0.00213707	0.00559073	0.75	0.706031	
05/08/2019 14:56:46.950195	0.629088	1.3963	775	1400	46.2361	-1	-0.00213707	-0.00149007	0.75	0.706811	
05/08/2019 14:56:47.949665	0.628333	1.3963	775	1400	46.2337	-1	-0.00643554	-0.00149007	0.76	0.715943	
05/08/2019 14:56:48.948889	0.615983	1.3963	775	1400	46.2322	-1	-0.00643554	0.00303179	0.76	0.717348	
05/08/2019 14:56:49.948312	0.615727	1.3963	775	1400	46.231	-1	0.00317537	0.00303179	0.77	0.726792	
05/08/2019 14:56:50.947800	0.625381	1.3963	775	1400	46.2293	-1	0.00317537	-0.0016852	0.77	0.727884	
05/08/2019 14:56:51.947296	0.624736	1.3963	775	1400	46.2273	-1	0.00120554	-0.0016852	0.78	0.737094	
05/08/2019 14:56:52.946347	0.632326	1.3963	775	1400	46.226	-1	0.00120554	0.00307946	0.78	0.738187	
05/08/2019 14:56:53.946593	0.634551	1.3963	775	1400	46.2246	-1	0.00197549	0.00307946	0.79	0.747318	
05/08/2019 14:56:54.946553	0.513183	1.3963	775	1400	46.2227	-1	0.00197549	-0.00251084	0.79	0.748645	
05/08/2019 14:56:55.946359	0.516685	1.3963	775	1400	46.222	-1	0.00169925	-0.00251084	0.8	0.757621	
05/08/2019 14:56:56.945807	0.654203	1.3963	775	1400	46.2198	-1	0.00169925	-0.00624675	0.8	0.75926	
05/08/2019 14:56:57.945365	0.662592	1.3963	775	1400	46.2176	-1	0.00494236	-0.00624675	0.81	0.768391	
05/08/2019 14:56:58.944660	0.657195	1.3963	775	1400	46.216	-1	0.00494236	0.00235146	0.81	0.769718	
05/08/2019 14:56:59.944570	0.655549	1.3963	775	1400	46.2135	-1	-0.000607924	0.00235146	0.82	0.778616	
05/08/2019 14:57:00.943620	0.669099	1.3963	775	1400	46.2121	-1	-0.000607924	0.00418626	0.82	0.780255	
05/08/2019 14:57:01.942698	0.672737	1.3963	775	1400	46.2107	-1	-0.000142251	0.00418626	0.83	0.789386	
05/08/2019 14:57:02.942016	0.686053	1.3963	775	1400	46.2092	-1	-0.000142251	-9.74013e-05	0.83	0.790557	
05/08/2019 14:57:03.941844	0.391855	1.3963	775	1400	46.2063	-1	0.000978012	-9.74013e-05	0.84	0.799454	
05/08/2019 14:57:04.940877	0.389921	1.3963	775	1400	46.2056	-1	0.000978012	0.0137452	0.84	0.800937	
05/08/2019 14:57:05.940763	0.68209	1.3963	775	1400	46.2029	-1	-0.000511478	0.0137452	0.85	0.810069	
05/08/2019 14:57:06.940210	0.671851	1.3963	775	1400	46.2024	-1	-0.000511478	0.00822595	0.85	0.81163	
05/08/2019 14:57:07.940157	0.673265	1.3963	775	1400	46.2009	-1	0.000534938	0.00822595	0.86	0.820215	
05/08/2019 14:57:08.939537	0.335766	1.3963	775	1400	46.1992	-1	0.000534938	-0.000785565	0.86	0.821854	
05/08/2019 14:57:09.939376	0.331243	1.3963	775	1400	46.1964	-1	0.00217978	-0.000785565	0.87	0.83083	
05/08/2019 14:57:10.938376	0.674781	1.3963	775	1400	46.1952	-1	0.00217978	0.00594584	0.87	0.832469	
05/08/2019 14:57:11.937851	0.673624	1.3963	775	1400	46.1942	-1	0.00153614	0.00594584	0.88	0.841132	
05/08/2019 14:57:12.937765	0.678013	1.3963	775	1400	46.1925	-1	0.00153614	-0.0029481	0.88	0.843161	
05/08/2019 14:57:13.936951	0.681583	1.3963	775	1400	46.1897	-1	0.00304163	-0.0029481	0.89	0.851512	
05/08/2019 14:57:14.936805	0.679539	1.3963	775	1400	46.1885	-1	0.00304163	0.00588022	0.89	0.85362	
05/08/2019 14:57:15.936062	0.68435	1.3963	775	1400	46.1868	-1	0.000226667	0.00588022	0.9	0.862283	
05/08/2019 14:57:16.935515	0.695314	1.3963	775	1400	46.1856	-1	0.000226667	0.00129288	0.9	0.864	
05/08/2019 14:57:17.934650	0.681734	1.3963	775	1400	46.1845	-1	-0.00053005	0.00129288	0.91	0.872585	
05/08/2019 14:57:18.933834	0.682055	1.3963	775	1400	46.1804	-1	-0.00053005	-0.0112815	0.91	0.87438	
05/08/2019 14:57:19.933647	0.682809	1.3963	775	1400	46.1791	-1	-3.54629e-05	-0.0112815	0.92	0.8832	
05/08/2019 14:57:20.932673	0.681264	1.3963	775	1400	46.1776	-1	-3.54629e-05	-0.000704031	0.92	0.884917	
05/08/2019 14:57:21.932072	0.691108	1.3963	775	1400	46.1757	-1	0.00275721	-0.000704031	0.93	0.893112	
05/08/2019 14:57:22.931101	0.66128	1.3963	775	1400	46.1757	-1	0.00275721	0.00715007	0.93	0.895375	
05/08/2019 14:57:23.930776	0.664257	1.3963	775	1400	46.1732	-1	0.000902886	0.00715007	0.94	0.903805	
05/08/2019 14:57:24.929910	0.72101	1.3963	775	1400	46.173	-1	0.000902886	0.00786608	0.94	0.905756	
05/08/2019 14:57:25.929233	0.697171	1.3963	775	1400	46.1717	-1	-2.70512e-05	0.00786608	0.95	0.913873	
05/08/2019 14:57:26.928378	0.657054	1.3963	775	1400	46.1698	-1	-2.70512e-05	-0.00177802	0.95	0.91637	
05/08/2019 14:57:27.928315	0.645472	1.3963	775	1400	46.1671	-1	0.00398269	-0.00177802	0.96	0.924878	
05/08/2019 14:57:28.927509	0.661635	1.3963	775	1400	46.168	-1	0.00398269	0.0130042	0.96	0.926907	
05/08/2019 14:57:29.927353	0.611705	1.3963	775	1400	46.1658	-1	0.00403996	0.0130042	0.97	0.934868	
05/08/2019 14:57:30.927338	0.604878	1.3963	775	1400	46.1647	-1	0.00403996	0.00420873	0.97	0.937365	
05/08/2019 14:57:31.927217	0.705439	1.3963	775	1400	46.1631	-1	0.0106094	0.00420873	0.98	0.945794	
05/08/2019 14:57:32.926918	0.188006	1.3963	775	1400	46.1654	-1	0.0106094	0.0140316	0.98	0.947824	
05/08/2019 14:57:33.925997	0.179794	1.3963	775	1400	46.165	-1	0.0152415	0.0140316	0.99	0.955628	
05/08/2019 14:57:34.926000	0.569649	1.3963	775	1400	46.166	-1	0.0152415	0.00637328	0.99	0.958282	
05/08/2019 14:57:35.925945	0.668072	1.3963	775	1400	46.1642	-1	0.0178347	0.00637328	1	0.960545	
05/08/2019 14:57:36.926190	0.148284	1.3963	775	1400	46.1667	-1	0.0178347	0.0159271	1	0.968741	
05/08/2019 14:57:37.925607	0.138453	1.3963	775	1400	46.1654	-1	0.0313742	0.0159271	1.01	0.970926	
05/08/2019 14:57:38.925497	0.657591	1.3963	775	1400	46.171	-1	0.0313742	0.0258794	1.01	0.979199	
05/08/2019 14:57:39.924657	0.13012	1.3963	775	1400	46.1681	-1	0.0491105	0.0258794	1.02	0.981306	
05/08/2019 14:57:40.923773	0.125923	1.3963	775	1400	46.1684	-1	0.0491105	0.0611463	1.02	0.989657	
05/08/2019 14:57:41.923904	0.659898	1.3963	775	1400	46.1652	-1	0.0359092	0.0611463	1.03	0.991609	
05/08/2019 14:57:42.923974	0.658367	1.3963	775	1400	46.1734	-1	0.0359092	0.0430726	1.03	0.99996	
05/08/2019 14:57:43.923364	0.105224	1.3963	775	1400	46.1718	-1	0.0411189	0.0430726	1.04	1.00191	
05/08/2019 14:57:44.923116	0.0989457	1.3963	775	1400	46.1707	-1	0.0411189	0.0104008	1.04	1.01073	
05/08/2019 14:57:45.922957	0.100145	1.3963	775	1400	46.1692	-1	0.0509107	0.0104008	1.05	1.01245	
05/08/2019 14:57:46.922166	0.130705	1.3963	775	1400	46.1761	-1	0.0509107	0.0459357	1.05	1.02095	
05/08/2019 14:57:47.922107	0.122777	1.3963	775	1400	46.1744	-1	0.0661969	0.0459357	1.06	1.02275	
05/08/2019 14:57:48.921169	0.142904	1.3963	775	1400	46.1887	-1	0.0661969	0.0646848	1.06	1.03149	
05/08/2019 14:57:49.920795	0.111302	1.3963	775	1400	46.1875	-1	0.0175843	0.0646848	1.07	1.03344	
05/08/2019 14:57:50.920021	0.107869	1.3963	775	1400	46.1874	-1	0.0175843	0.0285392	1.07	1.04218	
05/08/2019 14:57:51.919393	0.133755	1.3963	775	1400	46.1863	-1	0.079969	0.0285392	1.08	1.04382	
05/08/2019 14:57:52.919141	0.46195	1.3963	775	1400	46.2026	-1	0.079969	0.0802487	1.08	1.05256	
05/08/2019 14:57:53.918169	0.462416	1.3963	775	1400	46.2008	-1	0.0690608	0.0802487	1.09	1.05405	
05/08/2019 14:57:54.917220	0.576322	1.3963	775	1400	46.2178	-1	0.0690608	0.0780015	1.09	1.06302	
05/08/2019 14:57:55.916878	0.107314	1.3963	775	1400	46.2161	-1	0.100675	0.0780015	1.1	1.06419	
05/08/2019 14:57:56.915906	0.103795	1.3963	775	1400	46.218	-1	0.100675	0.087226	1.1	1.0734	
05/08/2019 14:57:57.915254	0.444227	1.3963	775	1400	46.2153	-1	0.0847589	0.087226	1.11	1.07496	
05/08/2019 14:57:58.915226	0.36707	1.3963	775	1400	46.2331	-1	0.0847589	0.0996271	1.11	1.08386	
05/08/2019 14:57:59.914247	0.362499	1.3963	775	1400	46.232	-1	0.110385	0.0996271	1.12	1.08503	
05/08/2019 14:58:00.913408	0.380756	1.3963	775	1400	46.247	-1	0.110385	0.105532	1.12	1.09448	
05/08/2019 14:58:01.912793	0.416468	1.3963	775	1400	46.2453	-1	0.108296	0.105532	1.13	1.09565	
05/08/2019 14:58:02.912741	0.505333	1.3963	775	1400	46.2677	-1	0.108296	0.108081	1.13	1.10493	
05/08/2019 14:58:03.912702	0.119718	1.3963	775	1400	46.2641	-1	0.0784561	0.108081	1.14	1.10587	
05/08/2019 14:58:04.912698	0.0910277	1.3963	775	1400	46.2676	-1	0.0784561	0.152134	1.14	1.11524	
05/08/2019 14:58:05.912220	0.088608	1.3963	775	1400	46.2676	-1	0.0935272	0.152134	1.15	1.11656	
05/08/2019 14:58:06.911816	0.0978924	1.3963	775	1400	46.268	-1	0.0935272	0.011916	1.15	1.12577	
05/08/2019 14:58:07.911117	0.100645	1.3963	775	1400	46.2679	-1	0.0765773	0.011916	1.16	1.12694	
05/08/2019 14:58:08.910414	0.0992437	1.3963	775	1400	46.2689	-1	0.0765773	0.0281385	1.16	1.13623	
05/08/2019 14:58:09.910181	0.408749	1.3963	775	1400	46.2661	-1	0.074334	0.0281385	1.17	1.13717	
05/08/2019 14:58:10.909781	0.390383	1.3963	775	1400	46.2771	-1	0.074334	0.0856257	1.17	1.14669	
05/08/2019 14:58:11.909004	0.382215	1.3963	775	1400	46.2747	-1	0.0954941	0.0856257	1.18	1.14763	
05/08/2019 14:58:12.908740	0.384935	1.3963	775	1400	46.2889	-1	0.0954941	0.10791	1.18	1.15715	
05/08/2019 14:58:13.908336	0.367613	1.3963	775	1400	46.2868	-1	0.103962	0.10791	1.19	1.15801	
05/08/2019 14:58:14.907471	0.340019	1.3963	775	1400	46.3001	-1	0.103962	0.103778	1.19	1.16761	
05/08/2019 14:58:15.907094	0.342664	1.3963	775	1400	46.2986	-1	0.0757529	0.103778	1.2	1.16854	
05/08/2019 14:58:16.907353	0.43242	1.3963	775	1400	46.3087	-1	0.0757529	0.0675489	1.2	1.17822	
05/08/2019 14:58:17.906962	0.394216	1.3963	775	1400	46.3071	-1	0.086493	0.0675489	1.21	1.17892	
05/08/2019 14:58:18.906873	0.383403	1.3963	775	1400	46.3199	-1	0.086493	0.0911818	1.21	1.18868	
05/08/2019 14:58:19.906662	0.383812	1.3963	775	1400	46.3188	-1	0.119628	0.0911818	1.22	1.1893	
05/08/2019 14:58:20.906299	0.494007	1.3963	775	1400	46.3445	-1	0.119628	0.121712	1.22	1.19914	
05/08/2019 14:58:21.906067	0.359425	1.3963	775	1400	46.3427	-1	0.122242	0.121712	1.23	1.19984	
05/08/2019 14:58:22.906019	0.359017	1.3963	775	1400	46.3582	-1	0.122242	0.120207	1.23	1.20975	
05/08/2019 14:58:23.905490	0.381613	1.3963	775	1400	46.3565	-1	0.136639	0.120207	1.24	1.20975	
05/08/2019 14:58:24.905491	0.36334	1.3963	775	1400	46.3761	-1	0.136639	0.139898	1.24	1.22029	
05/08/2019 14:58:25.904824	0.362656	1.3963	775	1400	46.3752	-1	0.171978	0.139898	1.25	1.22029	
05/08/2019 14:58:26.903840	0.480249	1.3963	775	1400	46.4071	-1	0.171978	0.166467	1.25	1.23059	
05/08/2019 14:58:27.903673	0.446941	1.3963	775	1400	46.4046	-1	0.218955	0.166467	1.26	1.23059	
05/08/2019 14:58:28.903095	0.450771	1.3963	775	1400	46.4394	-1	0.218955	0.206671	1.26	1.24097	
05/08/2019 14:58:29.902234	0.462105	1.3963	775	1400	46.4388	-1	0.213008	0.206671	1.27	1.24097	
05/08/2019 14:58:30.902092	0.423655	1.3963	775	1400	46.4761	-1	0.213008	0.20654	1.27	1.25159	
05/08/2019 14:58:31.901181	0.421634	1.3963	775	1400	46.4749	-1	0.265388	0.20654	1.28	1.25159	
05/08/2019 14:58:32.901135	0.108321	1.3963	775	1400	46.5357	26.0239	0.265388	0.260239	1.28	1.26204	
05/08/2019 14:58:33.900743	0.108685	1.3963	775	1400	46.5334	-1	0.259719	0.260239	1.29	1.26204	
05/08/2019 14:58:34.899833	0.132236	1.3963	775	1400	46.5452	-1	0.259719	0.266183	1.29	1.27235	
05/08/2019 14:58:35.899149	0.502239	1.3963	775	1400	46.5439	-1	0.341231	0.266183	1.3	1.27235	
05/08/2019 14:58:36.898759	0.56224	1.3963	775	1400	46.629	33.9337	0.341231	0.339337	1.3	1.28296	
05/08/2019 14:58:37.898094	0.524527	1.3963	775	1400	46.6257	33.9337	0.403099	0.339337	1.31	1.28296	
05/08/2019 14:58:38.897132	0.52295	1.3963	775	1400	46.7081	40.3099	0.403099	0.410192	1.31	1.29334	
05/08/2019 14:58:39.897102	0.109364	1.3963	775	1400	46.707	-1	0.460716	0.410192	1.32	1.29334	
05/08/2019 14:58:40.896550	0.10709	1.3963	775	1400	46.7244	-1	0.460716	0.432414	1.32	1.30388	
05/08/2019 14:58:41.895903	0.109583	1.3963	775	1400	46.7242	-1	0.48952	0.432414	1.33	1.30388	
05/08/2019 14:58:42.895406	0.585088	1.3963	775	1400	46.8356	47.6885	0.48952	0.476885	1.33	1.31434	
05/08/2019 14:58:43.894580	0.592085	1.3963	775	1400	46.8328	47.6885	0.566503	0.476885	1.34	1.31434	
05/08/2019 14:58:44.893898	0.527881	1.3963	775	1400	46.9637	56.6503	0.566503	0.567824	1.34	1.32456	
05/08/2019 14:58:45.893056	0.52465	1.3963	775	1400	46.9626	56.7824	0.606711	0.567824	1.35	1.32456	
05/08/2019 14:58:46.893011	0.600965	1.3963	775	1400	47.1079	60.6711	0.606711	0.609431	1.35	1.33518	
05/08/2019 14:58:47.892571	0.623605	1.3963	775	1400	47.1056	60.9431	0.618872	0.609431	1.36	1.33518	
05/08/2019 14:58:48.892234	0.618112	1.3963	775	1400	47.2581	61.8872	0.618872	0.622771	1.36	1.34563	
05/08/2019 14:58:49.891430	0.613937	1.3963	775	1400	47.2568	62.2771	0.697499	0.622771	1.37	1.34563	
05/08/2019 14:58:50.890773	0.508478	1.3963	775	1400	47.4398	69.4695	0.697499	0.694695	1.37	1.35617	
05/08/2019 14:58:51.889802	0.508938	1.3963	775	1400	47.438	67.1948	0.671948	0.694695	1.38	1.35617	
05/08/2019 14:58:52.889087	0.126957	1.3963	775	1400	47.5979	66.6685	0.671948	0.666685	1.38	1.36655	
05/08/2019 14:58:53.888273	0.127976	1.3963	775	1400	47.5956	66.6685	0.694581	0.666685	1.39	1.36655	
05/08/2019 14:58:54.887750	0.665674	1.3963	775	1400	47.7797	69.4581	0.694581	0.699676	1.39	1.37709	
05/08/2019 14:58:55.887674	0.596369	1.3963	775	1400	47.778	68.424	0.68424	0.699676	1.4	1.37709	
05/08/2019 14:58:56.886681	0.593154	1.3963	775	1400	47.9403	68.424	0.68424	0.691294	1.4	1.38762	
05/08/2019 14:58:57.886760	0.691248	1.3963	775	1400	47.939	69.1294	0.725068	0.691294	1.41	1.38762	
05/08/2019 14:58:58.886686	0.670267	1.3963	775	1400	48.1354	71.4554	0.725068	0.714554	1.41	1.39816	
05/08/2019 14:58:59.886397	0.473195	1.3963	775	1400	48.1321	71.3006	0.713006	0.714554	1.42	1.39816	
05/08/2019 14:59:00.885493	0.476723	1.3963	775	1400	48.2666	71.3006	0.713006	0.722626	1.42	1.40846	
05/08/2019 14:59:01.885364	0.649687	1.3963	775	1400	48.2654	71.3121	0.713121	0.722626	1.43	1.40846	
05/08/2019 14:59:02.885357	0.646367	1.3963	775	1400	48.4481	71.0821	0.713121	0.710821	1.43	1.41884	
05/08/2019 14:59:03.885420	0.70144	1.3963	775	1400	48.4471	71.0821	0.76512	0.710821	1.44	1.41884	
05/08/2019 14:59:04.885389	0.703249	1.3963	775	1400	48.6611	76.4167	0.76512	0.764167	1.44	1.4293	
05/08/2019 14:59:05.884853	0.695053	1.3963	775	1400	48.6583	71.4597	0.714597	0.764167	1.45	1.4293	
05/08/2019 14:59:06.884741	0.693596	1.3963	775	1400	48.8555	71.4597	0.714597	0.72077	1.45	1.43984	
05/08/2019 14:59:07.884695	0.700325	1.3963	775	1400	48.8511	72.077	0.773707	0.72077	1.46	1.43984	
05/08/2019 14:59:08.883973	0.687733	1.3963	775	1400	49.0672	77.3707	0.773707	0.787883	1.46	1.4503	
05/08/2019 14:59:09.883694	0.682682	1.3963	775	1400	49.0653	71.1493	0.711493	0.787883	1.47	1.4503	
05/08/2019 14:59:10.882862	0.698046	1.3963	775	1400	49.2657	71.1493	0.711493	0.712077	1.47	1.46083	
05/08/2019 14:59:11.882781	0.700547	1.3963	775	1400	49.264	71.2077	0.733397	0.712077	1.48	1.46083	
05/08/2019 14:59:12.881905	0.692205	1.3963	775	1400	49.4687	73.3397	0.733397	0.734834	1.48	1.47114	
05/08/2019 14:59:13.882350	0.689769	1.3963	775	1400	49.4672	73.0215	0.730215	0.734834	1.49	1.47114	
05/08/2019 14:59:14.881593	0.692623	1.3963	775	1400	49.6683	73.0215	0.730215	0.731412	1.49	1.48167	
05/08/2019 14:59:15.881820	0.665588	1.3963	775	1400	49.666	73.1412	0.732506	0.731412	1.5	1.48167	
05/08/2019 14:59:16.880953	0.663619	1.3963	775	1400	49.8592	73.2506	0.732506	0.736043	1.5	1.49213	
05/08/2019 14:59:17.880731	0.684129	1.3963	775	1400	49.8573	69.5966	0.695966	0.736043	1.51	1.49213	
05/08/2019 14:59:18.880139	0.323389	1.3963	775	1400	50.0457	69.5966	0.695966	0.696567	1.51	1.50259	
05/08/2019 14:59:19.880331	0.325594	1.3963	775	1400	50.0442	69.6567	0.735141	0.696567	1.52	1.50259	
05/08/2019 14:59:20.879541	0.660046	1.3963	775	1400	50.2369	73.5141	0.735141	0.735298	1.52	1.5132	
